number,code,url-name,filename,emoji,emoji-symbol,link,title,front-matter
1076,u+1f9f6,yarn,1076-yarn.md,yarn,🧶,permalink: 🧶.html,yarn,"---
layout: activities
title: yarn
emoji: yarn
permalink: 🧶.html
---"
1077,u+1faa2,knot,1077-knot.md,knot,🪢,permalink: 🪢.html,knot,"---
layout: activities
title: knot
emoji: knot
permalink: 🪢.html
---"
1078,u+1f453,glasses,1078-glasses.md,glasses,👓,permalink: 👓.html,glasses,"---
layout: objects
title: glasses
emoji: glasses
permalink: 👓.html
---"
1079,u+1f576,sunglasses,1079-sunglasses.md,sunglasses,🕶,permalink: 🕶.html,sunglasses,"---
layout: objects
title: sunglasses
emoji: sunglasses
permalink: 🕶.html
---"
1080,u+1f97d,goggles,1080-goggles.md,goggles,🥽,permalink: 🥽.html,goggles,"---
layout: objects
title: goggles
emoji: goggles
permalink: 🥽.html
---"
1081,u+1f97c,lab-coat,1081-lab-coat.md,lab_coat,🥼,permalink: 🥼.html,lab coat,"---
layout: objects
title: lab coat
emoji: lab_coat
permalink: 🥼.html
---"
1082,u+1f9ba,safety-vest,1082-safety-vest.md,safety_vest,🦺,permalink: 🦺.html,safety vest,"---
layout: objects
title: safety vest
emoji: safety_vest
permalink: 🦺.html
---"
1083,u+1f454,necktie,1083-necktie.md,necktie,👔,permalink: 👔.html,necktie,"---
layout: objects
title: necktie
emoji: necktie
permalink: 👔.html
---"
1084,u+1f455,t-shirt,1084-t-shirt.md,t_shirt,👕,permalink: 👕.html,t-shirt,"---
layout: objects
title: t-shirt
emoji: t_shirt
permalink: 👕.html
---"
1085,u+1f456,jeans,1085-jeans.md,jeans,👖,permalink: 👖.html,jeans,"---
layout: objects
title: jeans
emoji: jeans
permalink: 👖.html
---"
1086,u+1f9e3,scarf,1086-scarf.md,scarf,🧣,permalink: 🧣.html,scarf,"---
layout: objects
title: scarf
emoji: scarf
permalink: 🧣.html
---"
1087,u+1f9e4,gloves,1087-gloves.md,gloves,🧤,permalink: 🧤.html,gloves,"---
layout: objects
title: gloves
emoji: gloves
permalink: 🧤.html
---"
1088,u+1f9e5,coat,1088-coat.md,coat,🧥,permalink: 🧥.html,coat,"---
layout: objects
title: coat
emoji: coat
permalink: 🧥.html
---"
1089,u+1f9e6,socks,1089-socks.md,socks,🧦,permalink: 🧦.html,socks,"---
layout: objects
title: socks
emoji: socks
permalink: 🧦.html
---"
1090,u+1f457,dress,1090-dress.md,dress,👗,permalink: 👗.html,dress,"---
layout: objects
title: dress
emoji: dress
permalink: 👗.html
---"
1091,u+1f458,kimono,1091-kimono.md,kimono,👘,permalink: 👘.html,kimono,"---
layout: objects
title: kimono
emoji: kimono
permalink: 👘.html
---"
1092,u+1f97b,sari,1092-sari.md,sari,🥻,permalink: 🥻.html,sari,"---
layout: objects
title: sari
emoji: sari
permalink: 🥻.html
---"
1093,u+1fa71,one-piece-swimsuit,1093-one-piece-swimsuit.md,one_piece_swimsuit,🩱,permalink: 🩱.html,one-piece swimsuit,"---
layout: objects
title: one-piece swimsuit
emoji: one_piece_swimsuit
permalink: 🩱.html
---"
