number,code,emoji,emoji-symbol,title
0362,u+1f9db-u+200d-u+2642-u+fe0f,man_vampire,🧛‍♂️,man vampire
0363,u+1f9db-u+200d-u+2640-u+fe0f,woman_vampire,🧛‍♀️,woman vampire
0364,u+1f9dc,merperson,🧜,merperson
0365,u+1f9dc-u+200d-u+2642-u+fe0f,merman,🧜‍♂️,merman
0366,u+1f9dc-u+200d-u+2640-u+fe0f,mermaid,🧜‍♀️,mermaid
0367,u+1f9dd,elf,🧝,elf
0368,u+1f9dd-u+200d-u+2642-u+fe0f,man_elf,🧝‍♂️,man elf
0369,u+1f9dd-u+200d-u+2640-u+fe0f,woman_elf,🧝‍♀️,woman elf
0370,u+1f9de,genie,🧞,genie
0371,u+1f9de-u+200d-u+2642-u+fe0f,man_genie,🧞‍♂️,man genie
0372,u+1f9de-u+200d-u+2640-u+fe0f,woman_genie,🧞‍♀️,woman genie
0373,u+1f9df,zombie,🧟,zombie
0374,u+1f9df-u+200d-u+2642-u+fe0f,man_zombie,🧟‍♂️,man zombie
0375,u+1f9df-u+200d-u+2640-u+fe0f,woman_zombie,🧟‍♀️,woman zombie
0376,u+1f486,person_getting_massage,💆,person getting massage
0377,u+1f486-u+200d-u+2642-u+fe0f,man_getting_massage,💆‍♂️,man getting massage
0378,u+1f486-u+200d-u+2640-u+fe0f,woman_getting_massage,💆‍♀️,woman getting massage
0379,u+1f487,person_getting_haircut,💇,person getting haircut
0380,u+1f487-u+200d-u+2642-u+fe0f,man_getting_haircut,💇‍♂️,man getting haircut
0381,u+1f487-u+200d-u+2640-u+fe0f,woman_getting_haircut,💇‍♀️,woman getting haircut
0382,u+1f6b6,person_walking,🚶,person walking
0383,u+1f6b6-u+200d-u+2642-u+fe0f,man_walking,🚶‍♂️,man walking
0384,u+1f6b6-u+200d-u+2640-u+fe0f,woman_walking,🚶‍♀️,woman walking
0385,u+1f9cd,person_standing,🧍,person standing
0386,u+1f9cd-u+200d-u+2642-u+fe0f,man_standing,🧍‍♂️,man standing
0387,u+1f9cd-u+200d-u+2640-u+fe0f,woman_standing,🧍‍♀️,woman standing
0388,u+1f9ce,person_kneeling,🧎,person kneeling
0389,u+1f9ce-u+200d-u+2642-u+fe0f,man_kneeling,🧎‍♂️,man kneeling
0390,u+1f9ce-u+200d-u+2640-u+fe0f,woman_kneeling,🧎‍♀️,woman kneeling
0391,u+1f9d1-u+200d-u+1f9af,person_with_white_cane,🧑‍🦯,person with white cane
0392,u+1f468-u+200d-u+1f9af,man_with_white_cane,👨‍🦯,man with white cane
0393,u+1f469-u+200d-u+1f9af,woman_with_white_cane,👩‍🦯,woman with white cane
0394,u+1f9d1-u+200d-u+1f9bc,person_in_motorized_wheelchair,🧑‍🦼,person in motorized wheelchair
0395,u+1f468-u+200d-u+1f9bc,man_in_motorized_wheelchair,👨‍🦼,man in motorized wheelchair
0396,u+1f469-u+200d-u+1f9bc,woman_in_motorized_wheelchair,👩‍🦼,woman in motorized wheelchair
0397,u+1f9d1-u+200d-u+1f9bd,person_in_manual_wheelchair,🧑‍🦽,person in manual wheelchair
0398,u+1f468-u+200d-u+1f9bd,man_in_manual_wheelchair,👨‍🦽,man in manual wheelchair
0399,u+1f469-u+200d-u+1f9bd,woman_in_manual_wheelchair,👩‍🦽,woman in manual wheelchair
0400,u+1f3c3,person_running,🏃,person running
0401,u+1f3c3-u+200d-u+2642-u+fe0f,man_running,🏃‍♂️,man running
0402,u+1f3c3-u+200d-u+2640-u+fe0f,woman_running,🏃‍♀️,woman running
0403,u+1f483,woman_dancing,💃,woman dancing
0404,u+1f57a,man_dancing,🕺,man dancing
0405,u+1f574,person_in_suit_levitating,🕴,person in suit levitating
